_id                      ,isPb ,wpm   ,acc   ,rawWpm ,consistency ,charStats    ,mode  ,mode2 ,quoteLength ,restartCount ,testDuration ,afkDuration ,incompleteTestSeconds ,punctuation ,numbers ,language ,funbox    ,difficulty ,lazyMode ,blindMode ,bailedOut ,tags ,timestamp
665e9ddaca2df5019295827e ,     ,52.65 ,90.57 , 52.65 ,      51.18 ,138;0;0;0    ,words ,   25 ,-1          ,           0 ,       31.46 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717476826000
665e9dbaca2df50192958191 ,     ,49.73 ,84.42 , 54.18 ,      68.65 ,123;2;0;2    ,words ,   25 ,-1          ,           1 ,       29.68 ,          0 ,                 0.98 ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717476794000
665e9d98ca2df5019295807a ,     ,51.49 ,85.52 , 57.59 ,      59.62 ,118;4;2;0    ,words ,   25 ,-1          ,           0 ,       27.5  ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717476760000
665e9d7cca2df50192957fa1 ,true ,72.9  ,94.78 , 78.28 ,      59.14 ,122;1;1;1    ,words ,   25 ,-1          ,           0 ,       20.08 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717476732000
665d77cd3f4cde2f9d18d2e2 ,     ,45.21 ,82.01 , 59.81 ,      62.27 ,96;9;0;1     ,words ,   25 ,-1          ,           0 ,       25.48 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717401549000
665d77b23f4cde2f9d18d1ff ,     ,29.66 ,75.51 , 46.21 ,      38.87 ,86;15;3;4    ,words ,   25 ,-1          ,           0 ,       34.8  ,          2 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717401522000
665d778e3f4cde2f9d18d0a5 ,     ,51.96 ,85.43 , 56.25 ,      52.79 ,121;1;0;1    ,words ,   25 ,-1          ,           0 ,       27.95 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717401486000
665d77713f4cde2f9d18cf91 ,     ,61.14 ,91.73 , 63.73 ,      58.69 ,118;0;1;0    ,words ,   25 ,-1          ,           0 ,       23.16 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717401457000
665d77583f4cde2f9d18ce81 ,     ,53.66 ,89.86 , 53.66 ,      59.6  ,133;0;0;0    ,words ,   25 ,-1          ,           0 ,       29.74 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717401432000
665d77393f4cde2f9d18cd52 ,     ,52.76 ,88.89 , 54.44 ,      55.96 ,125;1;0;1    ,words ,   25 ,-1          ,           0 ,       28.43 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717401401000
665d771b3f4cde2f9d18cc4d ,     ,64.37 ,93.43 , 64.37 ,      59.1  ,126;0;0;0    ,words ,   25 ,-1          ,           0 ,       23.49 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717401371000
665d77023f4cde2f9d18cb78 ,     ,58.1  ,90.98 , 58.1  ,      66.92 ,121;0;0;0    ,words ,   25 ,-1          ,           0 ,       24.99 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717401346000
665d76e53f4cde2f9d18ca72 ,     ,55.73 ,90.48 , 55.73 ,      55.28 ,133;0;0;0    ,words ,   25 ,-1          ,           0 ,       28.64 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717401317000
665bf4ba3f4cde2f9d0cdc1f ,     ,68.28 ,93.75 , 75.33 ,      66.3  ,126;2;0;0    ,words ,   25 ,-1          ,           0 ,       22.14 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302457000
665bf4a33f4cde2f9d0cdb62 ,     ,60.82 ,93.33 , 60.82 ,      62.76 ,125;0;0;0    ,words ,   25 ,-1          ,           0 ,       24.66 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302435000
665bf4883f4cde2f9d0cda93 ,     ,56.87 ,90.48 , 58.38 ,      70.78 ,113;0;1;0    ,words ,   25 ,-1          ,           0 ,       23.84 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302408000
665bf46f3f4cde2f9d0cd9e8 ,     ,52.36 ,88.81 , 62.55 ,      58.05 ,113;3;1;0    ,words ,   25 ,-1          ,           0 ,       25.9  ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302383000
665bf4543f4cde2f9d0cd929 ,     ,51.28 ,82.81 , 81.13 ,      73.26 ,79;12;0;5    ,words ,   25 ,-1          ,           4 ,       18.49 ,          0 ,                24.41 ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302356000
665bf3cd3f4cde2f9d0cd579 ,true ,72.82 ,91.27 , 83.51 ,      78.91 ,109;5;2;0    ,words ,   25 ,-1          ,           0 ,       17.96 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302221000
665bf3ba3f4cde2f9d0cd4e6 ,     ,49.51 ,83.23 , 52.22 ,      46.54 ,128;2;0;0    ,words ,   25 ,-1          ,           0 ,       31.02 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302202000
665bf3993f4cde2f9d0cd405 ,     ,56.04 ,88.51 , 58.67 ,      58.07 ,128;2;0;0    ,words ,   25 ,-1          ,           0 ,       27.41 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302169000
665bf37d3f4cde2f9d0cd342 ,     ,69.22 ,97.16 , 69.22 ,      65.34 ,136;0;0;0    ,words ,   25 ,-1          ,           0 ,       23.58 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302141000
665bf3643f4cde2f9d0cd29e ,     ,54.88 ,82.07 , 62.52 ,      65.14 ,115;9;3;0    ,words ,   25 ,-1          ,           0 ,       25.14 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302116000
665bf3493f4cde2f9d0cd1e1 ,     ,65.66 ,87.6  , 78.28 ,      61.89 ,104;6;1;2    ,words ,   25 ,-1          ,           0 ,       19.01 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717302089000
665bf2153f4cde2f9d0cca29 ,     ,55.83 ,89.06 , 61    ,      61.49 ,108;3;0;0    ,words ,   25 ,-1          ,           0 ,       23.21 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717301781000
665ac0a63f4cde2f9d0437cb ,     ,55.99 ,83.85 , 57.69 ,      60.84 ,132;1;0;0    ,words ,   25 ,-1          ,           0 ,       28.29 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717223590000
665ac0733f4cde2f9d04365b ,     ,46.07 ,82.47 , 53.74 ,      59.24 ,114;4;0;0    ,words ,   25 ,-1          ,           2 ,       29.7  ,          0 ,                12.44 ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717223539000
665ac0363f4cde2f9d04348d ,     ,63.87 ,91.18 , 66.53 ,      55.84 ,120;1;0;0    ,words ,   25 ,-1          ,           0 ,       22.54 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717223478000
665ac00d3f4cde2f9d04333c ,     ,69.26 ,95.68 , 71.94 ,      63.67 ,129;1;0;0    ,words ,   25 ,-1          ,           0 ,       22.35 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717223437000
665abff33f4cde2f9d043283 ,     ,58.95 ,93.66 , 58.95 ,      57.98 ,132;0;0;0    ,words ,   25 ,-1          ,           0 ,       26.87 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717223411000
665ab7383f4cde2f9d03f417 ,     ,51.77 ,90.51 , 51.77 ,      57.01 ,122;0;0;0    ,words ,   25 ,-1          ,           0 ,       28.28 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1717221176000
665475d274e2231221feabb1 ,     ,49.88 ,89.51 , 51.49 ,      53.87 ,124;0;0;1    ,words ,   25 ,-1          ,           0 ,       29.83 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716811218000
665475a074e2231221fea9c9 ,     ,43.9  ,81.56 , 55.41 ,      50.1  ,103;9;3;1    ,words ,   25 ,-1          ,           0 ,       28.15 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716811168000
6654758374e2231221fea8a5 ,     ,55.72 ,86.52 , 65.67 ,      56.93 ,112;6;2;0    ,words ,   25 ,-1          ,           0 ,       24.12 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716811139000
6654754474e2231221fea648 ,     ,40.7  ,93.06 , 40.7  ,      46.99 ,130;0;0;0    ,words ,   25 ,-1          ,           0 ,       38.33 ,          2 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716811076000
6654750c74e2231221fea458 ,     ,46.73 ,88.57 , 55.99 ,      53.38 ,111;3;1;3    ,words ,   25 ,-1          ,           0 ,       28.5  ,          2 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716811020000
665474ee74e2231221fea334 ,     ,52.91 ,90    , 56.46 ,      51.04 ,119;1;0;0    ,words ,   25 ,-1          ,           0 ,       26.99 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716810990000
665474d174e2231221fea246 ,     ,57.5  ,95.56 , 58.4  ,      61.78 ,128;0;0;1    ,words ,   25 ,-1          ,           0 ,       26.71 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716810961000
665474b474e2231221fea138 ,     ,53.68 ,91.67 , 58.52 ,      51.14 ,122;0;0;2    ,words ,   25 ,-1          ,           0 ,       27.27 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716810932000
6654749674e2231221fea022 ,     ,53    ,89.47 , 54.37 ,      47.18 ,116;0;0;1    ,words ,   25 ,-1          ,           0 ,       26.26 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716810902000
6654746c74e2231221fe9e8f ,     ,49.39 ,87.94 , 54.07 ,      53.69 ,116;1;1;1    ,words ,   25 ,-1          ,           0 ,       28.18 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716810860000
6654744d74e2231221fe9d6f ,     ,58.83 ,95.71 , 60.17 ,      67.01 ,132;0;0;1    ,words ,   25 ,-1          ,           0 ,       26.92 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1716810829000
